;Station;PM10  µg/m³;Matin;Soir
0;Gare de Vaise s;74;0;1
1;Gare de Vaise m;104;1;0
2;Valmy s;130;0;1
3;Valmy m;129;1;0
4;Gorge de Loup s;105;0;1
5;Gorge de Loup m;58;1;0
6;Vieux Lyon s;164;0;1
7;Vieux Lyon m;96;1;0
8;Bellecour s;149;0;1
9;Bellecour m;56;1;0
10;Guillotière s;99;0;1
11;Guillotière m;69;1;0
12;Saxe-Gambetta s;57;0;1
13;Saxe-Gambetta m;91;1;0
14;Garibaldi s;110;0;1
15;Garibaldi m;130;1;0
16;Sans Souci s;59;0;1
17;Sans Souci m;85;1;0
18;Monplaisir lumière s;31;0;1
19;Monplaisir lumière m;113;1;0
20;Grange Blanche s;100;0;1
21;Grange Blanche m;145;1;0
22;Laënnec s;57;0;1
23;Laënnec m;96;1;0
24;Mermoz Pinel s;133;0;1
25;Mermoz Pinel m;108;1;0
26;Parilly s;57;0;1
27;Parilly m;79;1;0
28;Gare de Vénissieux s;59;0;1
29;Gare de Vénissieux m;45;1;0
